Genre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"Famille, Courage",chef,cheval,village,voir,paysan,homme,route,petit,grand,prendre,jour,demander,champ,voix,terre,raconter,retourner,nuit,vieux,trouver
"Vie, Aventure, Triller",enfant,jeune,petit,homme,jour,venir,femme,foret,voir,fille,prendre,grand,revenir,maison,trouver,main,fils,arriver,pere,entendre
"Fantastique, Royaume, Aventure",mot,princesse,voix,premier,second,jour,jamais,parler,entendre,passer,monde,temps,bel,perdre,grimper,retrouver,falloir,arbre,petit,doux
"Fantastique, Merveilleu, Royaume",petit,roi,voir,grand,prendre,fille,venir,jour,jamais,arbre,toujours,demander,bel,vieux,princesse,devenir,parler,nuit,fleur,trouver
"Drame, Royaume, Merveilleu",voir,roi,prendre,femme,vieux,jour,passer,demander,maison,tomber,grand,venir,pauvre,trouver,savoir,fils,pleurer,revenir,haut,descendre
"Courage, Aventure, Decouverte",croire,voir,fleur,oreille,patte,jamais,oeil,homme,jour,haut,pays,fille,eau,grand,loin,connaître,histoire,jeune,sommet,jeune homme
"Merveilleu, Filles, Heureux",chaussure,paire,petit,femme,jour,trouver,acheter,magnifique,joli,goutte,heureux,jamais,nouveau,vetement,soir,heure,marche,derrier,argent,bel
"Amour, Fantastique, Aventure",poule,jour,bateau,venir,vieux,nuit,musique,chat,vie,silence,voir,fille,jeune,sortir,prendre,terre,tour,marcher,fruit,chercher
"Famille, Vie, Animeau",voir,petit,grand,temps,porte,chien,enfant,vieux,grenouille,jour,aime,ouvrir,vie,sortir,jamais,prendre,oeil,passer,mere,route
"Animeaux, Aventure",petit,souris,loup,chat,jeune,grand,voir,passer,falloir,toujours,nom,monde,comment,pied,venir,maman,fille,mal,jamais,prendre
